"data";"valor"
"01/03/2011";"3,17"
"01/04/2011";"3,24"
"01/05/2011";"3,37"
"01/06/2011";"3,32"
"01/07/2011";"3,42"
"01/08/2011";"3,45"
"01/09/2011";"3,46"
"01/10/2011";"3,58"
"01/11/2011";"3,58"
"01/12/2011";"3,54"
"01/01/2012";"3,66"
"01/02/2012";"3,71"
"01/03/2012";"3,67"
"01/04/2012";"3,76"
"01/05/2012";"3,76"
"01/06/2012";"3,71"
"01/07/2012";"3,72"
"01/08/2012";"3,75"
"01/09/2012";"3,72"
"01/10/2012";"3,76"
"01/11/2012";"3,67"
"01/12/2012";"3,55"
"01/01/2013";"3,55"
"01/02/2013";"3,53"
"01/03/2013";"3,46"
"01/04/2013";"3,48"
"01/05/2013";"3,48"
"01/06/2013";"3,26"
"01/07/2013";"3,22"
"01/08/2013";"3,14"
"01/09/2013";"3,15"
"01/10/2013";"3,07"
"01/11/2013";"2,98"
"01/12/2013";"2,87"
"01/01/2014";"2,86"
"01/02/2014";"2,88"
"01/03/2014";"2,91"
"01/04/2014";"2,95"
"01/05/2014";"3,02"
"01/06/2014";"2,93"
"01/07/2014";"2,98"
"01/08/2014";"3,01"
"01/09/2014";"2,94"
"01/10/2014";"2,99"
"01/11/2014";"2,88"
"01/12/2014";"2,76"
"01/01/2015";"2,85"
"01/02/2015";"2,89"
"01/03/2015";"2,85"
"01/04/2015";"2,99"
"01/05/2015";"3,06"
"01/06/2015";"2,96"
"01/07/2015";"3,07"
"01/08/2015";"3,16"
"01/09/2015";"3,16"
"01/10/2015";"3,28"
"01/11/2015";"3,42"
"01/12/2015";"3,42"
"01/01/2016";"3,52"
"01/02/2016";"3,55"
"01/03/2016";"3,58"
"01/04/2016";"3,71"
"01/05/2016";"3,79"
"01/06/2016";"3,57"
"01/07/2016";"3,61"
"01/08/2016";"3,69"
"01/09/2016";"3,74"
"01/10/2016";"3,90"
"01/11/2016";"3,86"
"01/12/2016";"3,75"
"01/01/2017";"3,79"
"01/02/2017";"3,82"
"01/03/2017";"3,91"
"01/04/2017";"4,00"
"01/05/2017";"4,11"
"01/06/2017";"3,80"
"01/07/2017";"3,75"
"01/08/2017";"3,76"
"01/09/2017";"3,66"
"01/10/2017";"3,69"
"01/11/2017";"3,60"
"01/12/2017";"3,29"
"01/01/2018";"3,48"
"01/02/2018";"3,49"
"01/03/2018";"3,35"
"01/04/2018";"3,38"
"01/05/2018";"3,37"
"01/06/2018";"3,11"
"01/07/2018";"3,08"
"01/08/2018";"3,10"
"01/09/2018";"3,11"
"01/10/2018";"3,11"
"01/11/2018";"3,02"
"01/12/2018";"2,93"
"01/01/2019";"3,01"
"01/02/2019";"2,96"
"01/03/2019";"3,04"
"01/04/2019";"3,07"
"01/05/2019";"3,10"
"01/06/2019";"2,99"
"01/07/2019";"3,10"
"01/08/2019";"3,10"
"01/09/2019";"3,11"
"01/10/2019";"3,09"
"01/11/2019";"3,06"
"01/12/2019";"2,99"
"01/01/2020";"3,06"
"01/02/2020";"3,10"
"01/03/2020";"3,24"
"01/04/2020";"3,36"
"01/05/2020";"3,31"
"01/06/2020";"2,95"
"01/07/2020";"2,82"
"01/08/2020";"2,70"
"01/09/2020";"2,47"
"01/10/2020";"2,40"
"01/11/2020";"2,27"
"01/12/2020";"2,16"
"01/01/2021";"2,19"
"01/02/2021";"2,28"
"01/03/2021";"2,18"
"01/04/2021";"2,24"
"01/05/2021";"2,39"
"01/06/2021";"2,32"
"01/07/2021";"2,36"
"01/08/2021";"2,37"
"01/09/2021";"2,34"
"01/10/2021";"2,33"
"01/11/2021";"2,36"
"01/12/2021";"2,35"
"01/01/2022";"2,51"
"01/02/2022";"2,57"
"01/03/2022";"2,66"
"01/04/2022";"2,72"
"01/05/2022";"2,79"
"01/06/2022";"2,73"
"01/07/2022";"2,84"
"01/08/2022";"2,90"
"01/09/2022";"2,92"
"01/10/2022";"3,04"
"01/11/2022";"3,07"
"01/12/2022";"3,07"
"01/01/2023";"3,24"
"01/02/2023";"3,36"
"01/03/2023";"3,35"
"01/04/2023";"3,54"
"01/05/2023";"3,65"
"01/06/2023";"3,61"
"01/07/2023";"3,63"
"01/08/2023";"3,61"
"01/09/2023";"3,54"
"01/10/2023";"3,56"
"01/11/2023";"3,53"
"01/12/2023";"3,29"
"01/01/2024";"3,38"
"01/02/2024";"3,38"
"01/03/2024";"3,33"
"01/04/2024";"3,37"
"01/05/2024";"3,43"
"01/06/2024";"3,29"
"01/07/2024";"3,30"
"01/08/2024";"3,33"
"01/09/2024";"3,34"
"01/10/2024";"3,30"
"01/11/2024";"3,27"
"01/12/2024";"3,08"
"01/01/2025";"3,34"
"01/02/2025";"3,41"
"01/03/2025";"3,44"
"01/04/2025";"3,67"
"01/05/2025";"3,72"
"01/06/2025";"3,75"
"01/07/2025";"3,96"
"01/08/2025";"4,14"
"01/09/2025";"4,09"
"01/10/2025";"4,18"
"01/11/2025";"4,24"
"01/12/2025";"4,20"
"01/01/2026";"4,44"
"01/02/2026";"4,64"
"01/03/2026";"4,52"
"01/04/2026";"4,64"
"01/05/2026";"4,74"
"01/06/2026";"4,58"
"01/07/2026";"4,88"
