"data";"valor"
"01/03/2011";"1,96"
"01/04/2011";"2,04"
"01/05/2011";"2,15"
"01/06/2011";"2,09"
"01/07/2011";"2,18"
"01/08/2011";"2,15"
"01/09/2011";"2,14"
"01/10/2011";"2,23"
"01/11/2011";"2,20"
"01/12/2011";"2,15"
"01/01/2012";"2,22"
"01/02/2012";"2,27"
"01/03/2012";"2,24"
"01/04/2012";"2,37"
"01/05/2012";"2,29"
"01/06/2012";"2,27"
"01/07/2012";"2,28"
"01/08/2012";"2,35"
"01/09/2012";"2,31"
"01/10/2012";"2,43"
"01/11/2012";"2,38"
"01/12/2012";"2,26"
"01/01/2013";"2,28"
"01/02/2013";"2,28"
"01/03/2013";"2,21"
"01/04/2013";"2,31"
"01/05/2013";"2,28"
"01/06/2013";"2,11"
"01/07/2013";"2,07"
"01/08/2013";"2,01"
"01/09/2013";"2,02"
"01/10/2013";"2,03"
"01/11/2013";"1,95"
"01/12/2013";"1,84"
"01/01/2014";"1,83"
"01/02/2014";"1,88"
"01/03/2014";"1,88"
"01/04/2014";"1,92"
"01/05/2014";"2,00"
"01/06/2014";"1,97"
"01/07/2014";"2,01"
"01/08/2014";"2,06"
"01/09/2014";"2,03"
"01/10/2014";"2,08"
"01/11/2014";"2,00"
"01/12/2014";"1,92"
"01/01/2015";"2,02"
"01/02/2015";"2,03"
"01/03/2015";"2,10"
"01/04/2015";"2,28"
"01/05/2015";"2,31"
"01/06/2015";"2,30"
"01/07/2015";"2,41"
"01/08/2015";"2,48"
"01/09/2015";"2,43"
"01/10/2015";"2,53"
"01/11/2015";"2,68"
"01/12/2015";"2,66"
"01/01/2016";"2,77"
"01/02/2016";"2,83"
"01/03/2016";"2,90"
"01/04/2016";"3,10"
"01/05/2016";"3,24"
"01/06/2016";"3,06"
"01/07/2016";"3,09"
"01/08/2016";"3,23"
"01/09/2016";"3,25"
"01/10/2016";"3,58"
"01/11/2016";"3,56"
"01/12/2016";"3,50"
"01/01/2017";"3,53"
"01/02/2017";"3,57"
"01/03/2017";"3,76"
"01/04/2017";"3,89"
"01/05/2017";"4,06"
"01/06/2017";"3,68"
"01/07/2017";"3,47"
"01/08/2017";"3,52"
"01/09/2017";"3,36"
"01/10/2017";"3,42"
"01/11/2017";"3,34"
"01/12/2017";"2,97"
"01/01/2018";"3,13"
"01/02/2018";"3,17"
"01/03/2018";"2,94"
"01/04/2018";"3,03"
"01/05/2018";"3,04"
"01/06/2018";"2,61"
"01/07/2018";"2,51"
"01/08/2018";"2,56"
"01/09/2018";"2,66"
"01/10/2018";"2,72"
"01/11/2018";"2,61"
"01/12/2018";"2,47"
"01/01/2019";"2,53"
"01/02/2019";"2,46"
"01/03/2019";"2,55"
"01/04/2019";"2,63"
"01/05/2019";"2,63"
"01/06/2019";"2,45"
"01/07/2019";"2,57"
"01/08/2019";"2,51"
"01/09/2019";"2,45"
"01/10/2019";"2,41"
"01/11/2019";"2,33"
"01/12/2019";"2,21"
"01/01/2020";"2,26"
"01/02/2020";"2,23"
"01/03/2020";"2,22"
"01/04/2020";"2,35"
"01/05/2020";"2,36"
"01/06/2020";"2,02"
"01/07/2020";"1,92"
"01/08/2020";"1,87"
"01/09/2020";"1,58"
"01/10/2020";"1,51"
"01/11/2020";"1,33"
"01/12/2020";"1,24"
"01/01/2021";"1,25"
"01/02/2021";"1,40"
"01/03/2021";"1,25"
"01/04/2021";"1,33"
"01/05/2021";"1,57"
"01/06/2021";"1,54"
"01/07/2021";"1,58"
"01/08/2021";"1,56"
"01/09/2021";"1,43"
"01/10/2021";"1,43"
"01/11/2021";"1,46"
"01/12/2021";"1,40"
"01/01/2022";"1,46"
"01/02/2022";"1,44"
"01/03/2022";"1,55"
"01/04/2022";"1,57"
"01/05/2022";"1,57"
"01/06/2022";"1,52"
"01/07/2022";"1,60"
"01/08/2022";"1,62"
"01/09/2022";"1,65"
"01/10/2022";"1,77"
"01/11/2022";"1,81"
"01/12/2022";"1,80"
"01/01/2023";"1,94"
"01/02/2023";"2,17"
"01/03/2023";"2,20"
"01/04/2023";"2,45"
"01/05/2023";"2,58"
"01/06/2023";"2,63"
"01/07/2023";"2,73"
"01/08/2023";"2,82"
"01/09/2023";"2,82"
"01/10/2023";"2,92"
"01/11/2023";"2,99"
"01/12/2023";"2,59"
"01/01/2024";"2,77"
"01/02/2024";"2,76"
"01/03/2024";"2,71"
"01/04/2024";"2,76"
"01/05/2024";"2,80"
"01/06/2024";"2,64"
"01/07/2024";"2,52"
"01/08/2024";"2,55"
"01/09/2024";"2,56"
"01/10/2024";"2,52"
"01/11/2024";"2,50"
"01/12/2024";"2,21"
"01/01/2025";"2,43"
"01/02/2025";"2,52"
"01/03/2025";"2,49"
"01/04/2025";"2,72"
"01/05/2025";"2,67"
"01/06/2025";"2,67"
"01/07/2025";"2,79"
"01/08/2025";"2,85"
"01/09/2025";"2,77"
"01/10/2025";"2,82"
"01/11/2025";"2,75"
"01/12/2025";"2,70"
"01/01/2026";"2,87"
"01/02/2026";"3,07"
"01/03/2026";"3,06"
"01/04/2026";"3,15"
"01/05/2026";"3,25"
"01/06/2026";"3,18"
"01/07/2026";"3,31"
