"data";"valor"
"01/03/2011";"28,39"
"01/04/2011";"27,87"
"01/05/2011";"25,91"
"01/06/2011";"26,55"
"01/07/2011";"21,17"
"01/08/2011";"29,69"
"01/09/2011";"29,70"
"01/10/2011";"32,12"
"01/11/2011";"32,44"
"01/12/2011";"33,01"
"01/01/2012";"33,40"
"01/02/2012";"30,73"
"01/03/2012";"31,78"
"01/04/2012";"34,47"
"01/05/2012";"34,26"
"01/06/2012";"33,63"
"01/07/2012";"35,57"
"01/08/2012";"36,41"
"01/09/2012";"35,65"
"01/10/2012";"38,41"
"01/11/2012";"37,91"
"01/12/2012";"38,10"
"01/01/2013";"38,96"
"01/02/2013";"37,54"
"01/03/2013";"38,35"
"01/04/2013";"40,44"
"01/05/2013";"42,04"
"01/06/2013";"40,33"
"01/07/2013";"42,12"
"01/08/2013";"42,30"
"01/09/2013";"49,29"
"01/10/2013";"50,97"
"01/11/2013";"50,29"
"01/12/2013";"51,14"
"01/01/2014";"52,04"
"01/02/2014";"50,32"
"01/03/2014";"49,98"
"01/04/2014";"50,06"
"01/05/2014";"51,85"
"01/06/2014";"50,70"
"01/07/2014";"54,28"
"01/08/2014";"53,95"
"01/09/2014";"54,95"
"01/10/2014";"56,37"
"01/11/2014";"56,09"
"01/12/2014";"57,42"
"01/01/2015";"56,05"
"01/02/2015";"53,35"
"01/03/2015";"55,14"
"01/04/2015";"55,53"
"01/05/2015";"55,70"
"01/06/2015";"55,58"
"01/07/2015";"58,15"
"01/08/2015";"58,11"
"01/09/2015";"58,67"
"01/10/2015";"58,54"
"01/11/2015";"58,86"
"01/12/2015";"61,69"
"01/01/2016";"62,70"
"01/02/2016";"56,76"
"01/03/2016";"57,84"
"01/04/2016";"58,08"
"01/05/2016";"59,17"
"01/06/2016";"57,62"
"01/07/2016";"58,01"
"01/08/2016";"57,60"
"01/09/2016";"56,48"
"01/10/2016";"57,92"
"01/11/2016";"58,05"
"01/12/2016";"58,42"
"01/01/2017";"57,40"
"01/02/2017";"52,91"
"01/03/2017";"49,48"
"01/04/2017";"40,13"
"01/05/2017";"47,19"
"01/06/2017";"41,88"
"01/07/2017";"57,66"
"01/08/2017";"54,11"
"01/09/2017";"48,47"
"01/10/2017";"52,72"
"01/11/2017";"50,51"
"01/12/2017";"33,65"
"01/01/2018";"47,88"
"01/02/2018";"46,81"
"01/03/2018";"44,16"
"01/04/2018";"46,46"
"01/05/2018";"46,84"
"01/06/2018";"36,30"
"01/07/2018";"44,22"
"01/08/2018";"46,33"
"01/09/2018";"32,67"
"01/10/2018";"42,26"
"01/11/2018";"42,09"
"01/12/2018";"30,49"
"01/01/2019";"42,05"
"01/02/2019";"39,48"
"01/03/2019";"30,82"
"01/04/2019";"40,44"
"01/05/2019";"36,55"
"01/06/2019";"23,45"
"01/07/2019";"23,98"
"01/08/2019";"31,14"
"01/09/2019";"28,56"
"01/10/2019";"44,54"
"01/11/2019";"42,27"
"01/12/2019";"20,87"
"01/01/2020";"21,77"
"01/02/2020";"38,12"
"01/03/2020";"17,73"
"01/04/2020";"22,18"
"01/05/2020";"45,01"
"01/06/2020";"23,99"
"01/07/2020";"21,84"
"01/08/2020";"39,86"
"01/09/2020";"33,27"
"01/10/2020";"37,88"
"01/11/2020";"34,03"
"01/12/2020";"33,86"
"01/01/2021";"35,26"
"01/02/2021";"30,17"
"01/03/2021";"33,04"
"01/04/2021";"34,19"
"01/05/2021";"31,95"
"01/06/2021";"24,87"
"01/07/2021";"32,00"
"01/08/2021";"33,45"
"01/09/2021";"28,31"
"01/10/2021";"33,15"
"01/11/2021";"36,11"
"01/12/2021";"21,66"
"01/01/2022";"27,46"
"01/02/2022";"29,98"
"01/03/2022";"23,31"
"01/04/2022";"30,15"
"01/05/2022";"28,51"
"01/06/2022";"23,59"
"01/07/2022";"31,65"
"01/08/2022";"28,05"
"01/09/2022";"20,20"
"01/10/2022";"28,12"
"01/11/2022";"31,77"
"01/12/2022";"18,02"
"01/01/2023";"31,66"
"01/02/2023";"29,97"
"01/03/2023";"19,92"
"01/04/2023";"32,54"
"01/05/2023";"30,85"
"01/06/2023";"27,12"
"01/07/2023";"42,59"
"01/08/2023";"30,04"
"01/09/2023";"24,95"
"01/10/2023";"31,75"
"01/11/2023";"25,14"
"01/12/2023";"28,60"
"01/01/2024";"31,62"
"01/02/2024";"28,76"
"01/03/2024";"16,43"
"01/04/2024";"28,75"
"01/05/2024";"38,48"
"01/06/2024";"28,96"
"01/07/2024";"37,29"
"01/08/2024";"30,50"
"01/09/2024";"23,70"
"01/10/2024";"41,25"
"01/11/2024";"46,85"
"01/12/2024";"31,81"
"01/01/2025";"43,79"
"01/02/2025";"42,81"
"01/03/2025";"32,43"
"01/04/2025";"48,66"
"01/05/2025";"46,96"
"01/06/2025";"31,22"
"01/07/2025";"49,14"
"01/08/2025";"52,78"
"01/09/2025";"41,75"
"01/10/2025";"57,46"
"01/11/2025";"51,43"
"01/12/2025";"41,82"
"01/01/2026";"48,93"
"01/02/2026";"51,16"
"01/03/2026";"43,69"
"01/04/2026";"50,90"
"01/05/2026";"53,41"
"01/06/2026";"35,51"
"01/07/2026";"47,48"
