"data";"valor"
"01/03/2011";"7,63"
"01/04/2011";"7,65"
"01/05/2011";"7,91"
"01/06/2011";"7,99"
"01/07/2011";"8,46"
"01/08/2011";"8,82"
"01/09/2011";"8,89"
"01/10/2011";"8,78"
"01/11/2011";"8,86"
"01/12/2011";"8,54"
"01/01/2012";"8,74"
"01/02/2012";"8,79"
"01/03/2012";"8,70"
"01/04/2012";"8,68"
"01/05/2012";"8,68"
"01/06/2012";"8,68"
"01/07/2012";"8,56"
"01/08/2012";"8,53"
"01/09/2012";"8,67"
"01/10/2012";"8,41"
"01/11/2012";"8,13"
"01/12/2012";"7,75"
"01/01/2013";"7,59"
"01/02/2013";"7,63"
"01/03/2013";"7,53"
"01/04/2013";"7,47"
"01/05/2013";"7,35"
"01/06/2013";"7,25"
"01/07/2013";"7,09"
"01/08/2013";"7,02"
"01/09/2013";"6,97"
"01/10/2013";"6,79"
"01/11/2013";"6,66"
"01/12/2013";"6,37"
"01/01/2014";"6,29"
"01/02/2014";"6,34"
"01/03/2014";"6,30"
"01/04/2014";"6,49"
"01/05/2014";"6,66"
"01/06/2014";"6,65"
"01/07/2014";"6,93"
"01/08/2014";"6,96"
"01/09/2014";"7,22"
"01/10/2014";"7,19"
"01/11/2014";"6,90"
"01/12/2014";"6,57"
"01/01/2015";"6,67"
"01/02/2015";"6,94"
"01/03/2015";"6,70"
"01/04/2015";"7,04"
"01/05/2015";"7,29"
"01/06/2015";"7,18"
"01/07/2015";"7,46"
"01/08/2015";"7,62"
"01/09/2015";"7,97"
"01/10/2015";"8,19"
"01/11/2015";"8,13"
"01/12/2015";"8,04"
"01/01/2016";"8,36"
"01/02/2016";"7,95"
"01/03/2016";"8,02"
"01/04/2016";"8,25"
"01/05/2016";"8,31"
"01/06/2016";"8,26"
"01/07/2016";"8,31"
"01/08/2016";"8,14"
"01/09/2016";"8,14"
"01/10/2016";"8,07"
"01/11/2016";"7,77"
"01/12/2016";"7,65"
"01/01/2017";"7,64"
"01/02/2017";"7,67"
"01/03/2017";"7,43"
"01/04/2017";"7,58"
"01/05/2017";"7,65"
"01/06/2017";"7,45"
"01/07/2017";"7,34"
"01/08/2017";"7,10"
"01/09/2017";"7,01"
"01/10/2017";"6,77"
"01/11/2017";"6,41"
"01/12/2017";"6,16"
"01/01/2018";"6,01"
"01/02/2018";"6,09"
"01/03/2018";"6,02"
"01/04/2018";"6,04"
"01/05/2018";"6,04"
"01/06/2018";"5,99"
"01/07/2018";"6,06"
"01/08/2018";"6,02"
"01/09/2018";"6,15"
"01/10/2018";"6,01"
"01/11/2018";"5,64"
"01/12/2018";"5,54"
"01/01/2019";"5,59"
"01/02/2019";"5,66"
"01/03/2019";"5,68"
"01/04/2019";"5,73"
"01/05/2019";"5,74"
"01/06/2019";"5,65"
"01/07/2019";"5,67"
"01/08/2019";"6,00"
"01/09/2019";"6,18"
"01/10/2019";"6,17"
"01/11/2019";"6,16"
"01/12/2019";"6,04"
"01/01/2020";"5,73"
"01/02/2020";"6,33"
"01/03/2020";"6,63"
"01/04/2020";"7,57"
"01/05/2020";"7,81"
"01/06/2020";"7,53"
"01/07/2020";"7,35"
"01/08/2020";"6,80"
"01/09/2020";"6,29"
"01/10/2020";"5,86"
"01/11/2020";"4,83"
"01/12/2020";"4,48"
"01/01/2021";"4,37"
"01/02/2021";"4,15"
"01/03/2021";"3,89"
"01/04/2021";"3,79"
"01/05/2021";"3,86"
"01/06/2021";"3,97"
"01/07/2021";"4,04"
"01/08/2021";"4,13"
"01/09/2021";"4,67"
"01/10/2021";"4,83"
"01/11/2021";"4,78"
"01/12/2021";"5,00"
"01/01/2022";"5,49"
"01/02/2022";"5,79"
"01/03/2022";"5,86"
"01/04/2022";"6,33"
"01/05/2022";"6,58"
"01/06/2022";"6,64"
"01/07/2022";"7,10"
"01/08/2022";"7,33"
"01/09/2022";"7,61"
"01/10/2022";"7,87"
"01/11/2022";"7,84"
"01/12/2022";"7,94"
"01/01/2023";"8,29"
"01/02/2023";"8,63"
"01/03/2023";"8,61"
"01/04/2023";"8,92"
"01/05/2023";"8,94"
"01/06/2023";"8,73"
"01/07/2023";"8,60"
"01/08/2023";"8,51"
"01/09/2023";"8,39"
"01/10/2023";"8,25"
"01/11/2023";"7,63"
"01/12/2023";"7,49"
"01/01/2024";"7,34"
"01/02/2024";"7,40"
"01/03/2024";"7,28"
"01/04/2024";"7,46"
"01/05/2024";"7,56"
"01/06/2024";"7,47"
"01/07/2024";"7,38"
"01/08/2024";"7,51"
"01/09/2024";"7,51"
"01/10/2024";"7,30"
"01/11/2024";"7,03"
"01/12/2024";"6,84"
"01/01/2025";"7,14"
"01/02/2025";"7,43"
"01/03/2025";"7,79"
"01/04/2025";"8,24"
"01/05/2025";"8,47"
"01/06/2025";"8,51"
"01/07/2025";"8,73"
"01/08/2025";"8,96"
"01/09/2025";"9,09"
"01/10/2025";"8,66"
"01/11/2025";"9,02"
"01/12/2025";"8,89"
"01/01/2026";"9,19"
"01/02/2026";"9,37"
"01/03/2026";"9,05"
"01/04/2026";"9,21"
"01/05/2026";"9,42"
"01/06/2026";"9,09"
"01/07/2026";"9,51"
