"data";"valor"
"01/03/2011";"2,36"
"01/04/2011";"2,41"
"01/05/2011";"2,17"
"01/06/2011";"1,85"
"01/07/2011";"1,87"
"01/08/2011";"1,91"
"01/09/2011";"1,88"
"01/10/2011";"2,33"
"01/11/2011";"2,41"
"01/12/2011";"2,01"
"01/01/2012";"2,08"
"01/02/2012";"2,04"
"01/03/2012";"2,04"
"01/04/2012";"1,93"
"01/05/2012";"1,68"
"01/06/2012";"1,41"
"01/07/2012";"1,43"
"01/08/2012";"1,49"
"01/09/2012";"1,58"
"01/10/2012";"1,78"
"01/11/2012";"1,72"
"01/12/2012";"1,84"
"01/01/2013";"1,94"
"01/02/2013";"2,03"
"01/03/2013";"2,02"
"01/04/2013";"1,80"
"01/05/2013";"1,99"
"01/06/2013";"1,92"
"01/07/2013";"2,07"
"01/08/2013";"1,87"
"01/09/2013";"2,20"
"01/10/2013";"2,37"
"01/11/2013";"2,40"
"01/12/2013";"2,46"
"01/01/2014";"2,77"
"01/02/2014";"2,98"
"01/03/2014";"4,08"
"01/04/2014";"3,48"
"01/05/2014";"3,44"
"01/06/2014";"2,82"
"01/07/2014";"1,94"
"01/08/2014";"1,56"
"01/09/2014";"1,48"
"01/10/2014";"1,62"
"01/11/2014";"1,57"
"01/12/2014";"2,03"
"01/01/2015";"2,25"
"01/02/2015";"2,63"
"01/03/2015";"2,43"
"01/04/2015";"2,56"
"01/05/2015";"2,41"
"01/06/2015";"2,04"
"01/07/2015";"2,16"
"01/08/2015";"2,34"
"01/09/2015";"3,08"
"01/10/2015";"3,19"
"01/11/2015";"3,00"
"01/12/2015";"3,01"
"01/01/2016";"3,24"
"01/02/2016";"3,37"
"01/03/2016";"3,21"
"01/04/2016";"3,09"
"01/05/2016";"2,96"
"01/06/2016";"2,38"
"01/07/2016";"2,86"
"01/08/2016";"3,08"
"01/09/2016";"3,21"
"01/10/2016";"3,46"
"01/11/2016";"3,40"
"01/12/2016";"4,14"
"01/01/2017";"4,91"
"01/02/2017";"5,22"
"01/03/2017";"6,05"
"01/04/2017";"5,92"
"01/05/2017";"5,70"
"01/06/2017";"4,83"
"01/07/2017";"5,64"
"01/08/2017";"5,95"
"01/09/2017";"5,60"
"01/10/2017";"5,99"
"01/11/2017";"5,53"
"01/12/2017";"4,08"
"01/01/2018";"4,37"
"01/02/2018";"4,77"
"01/03/2018";"4,98"
"01/04/2018";"4,34"
"01/05/2018";"3,79"
"01/06/2018";"3,18"
"01/07/2018";"3,07"
"01/08/2018";"3,42"
"01/09/2018";"3,74"
"01/10/2018";"3,87"
"01/11/2018";"3,37"
"01/12/2018";"3,06"
"01/01/2019";"3,23"
"01/02/2019";"3,25"
"01/03/2019";"3,10"
"01/04/2019";"2,56"
"01/05/2019";"1,89"
"01/06/2019";"1,50"
"01/07/2019";"1,56"
"01/08/2019";"1,75"
"01/09/2019";"2,16"
"01/10/2019";"2,23"
"01/11/2019";"2,18"
"01/12/2019";"2,13"
"01/01/2020";"2,24"
"01/02/2020";"2,36"
"01/03/2020";"2,22"
"01/04/2020";"1,87"
"01/05/2020";"1,63"
"01/06/2020";"1,34"
"01/07/2020";"1,44"
"01/08/2020";"1,63"
"01/09/2020";"1,54"
"01/10/2020";"1,52"
"01/11/2020";"1,44"
"01/12/2020";"1,34"
"01/01/2021";"1,31"
"01/02/2021";"1,19"
"01/03/2021";"1,06"
"01/04/2021";"0,87"
"01/05/2021";"0,73"
"01/06/2021";"0,49"
"01/07/2021";"0,61"
"01/08/2021";"0,73"
"01/09/2021";"0,76"
"01/10/2021";"0,71"
"01/11/2021";"0,64"
"01/12/2021";"0,59"
"01/01/2022";"0,61"
"01/02/2022";"0,56"
"01/03/2022";"0,57"
"01/04/2022";"0,54"
"01/05/2022";"0,42"
"01/06/2022";"0,36"
"01/07/2022";"0,40"
"01/08/2022";"0,48"
"01/09/2022";"0,48"
"01/10/2022";"0,51"
"01/11/2022";"0,48"
"01/12/2022";"0,51"
"01/01/2023";"0,61"
"01/02/2023";"0,63"
"01/03/2023";"0,60"
"01/04/2023";"0,62"
"01/05/2023";"0,66"
"01/06/2023";"0,63"
"01/07/2023";"0,82"
"01/08/2023";"0,99"
"01/09/2023";"1,03"
"01/10/2023";"1,11"
"01/11/2023";"1,17"
"01/12/2023";"1,20"
"01/01/2024";"1,39"
"01/02/2024";"1,46"
"01/03/2024";"1,55"
"01/04/2024";"1,66"
"01/05/2024";"1,80"
"01/06/2024";"1,88"
"01/07/2024";"2,58"
"01/08/2024";"3,24"
"01/09/2024";"3,42"
"01/10/2024";"3,58"
"01/11/2024";"3,82"
"01/12/2024";"3,80"
"01/01/2025";"4,39"
"01/02/2025";"4,79"
"01/03/2025";"4,67"
"01/04/2025";"5,29"
"01/05/2025";"5,55"
"01/06/2025";"5,91"
"01/07/2025";"7,77"
"01/08/2025";"9,52"
"01/09/2025";"10,11"
"01/10/2025";"11,51"
"01/11/2025";"12,36"
"01/12/2025";"12,09"
"01/01/2026";"13,54"
"01/02/2026";"13,99"
"01/03/2026";"12,79"
"01/04/2026";"13,39"
"01/05/2026";"13,45"
"01/06/2026";"13,07"
"01/07/2026";"15,53"
